ts,device,co,humidity,light,lpg,motion,smoke,temp
1594570438.3643658,b8:27:eb:bf:9d:51,0.004994712976107,49.9,False,0.0076940775297466,False,0.0205345606093334,21.7
1594570441.2498434,00:0f:00:70:91:0a,0.0036999521670217,73.80000305175781,False,0.0061927927687741,False,0.0162850052470037,19.100000381469727
1594570442.0502765,b8:27:eb:bf:9d:51,0.0050178197228976,49.9,False,0.0077198104149108,False,0.0206079295050472,21.7
1594570445.7363358,b8:27:eb:bf:9d:51,0.0049817186514974,49.9,False,0.0076795919061532,False,0.0204932669527049,21.7
1594570446.139823,00:0f:00:70:91:0a,0.0036558869249676,73.9000015258789,False,0.0061393503591308,False,0.0161349315996368,19.100000381469727
1594570449.4223225,b8:27:eb:bf:9d:51,0.004971644949355,49.9,False,0.0076683548991553,False,0.0204612376699309,21.7
1594570449.9745634,00:0f:00:70:91:0a,0.0036124229200338,73.9000015258789,False,0.0060864623070031,False,0.015986502327067,19.100000381469727
1594570450.7809825,1c:bf:ce:15:ec:4d,0.0040601528180467,56.59999847412109,True,0.0066232814614669,False,0.0174970392650893,27.0
1594570453.1083746,b8:27:eb:bf:9d:51,0.0049673925050777,49.9,False,0.0076636094953082,False,0.0204477126195581,21.7
1594570453.7857535,00:0f:00:70:91:0a,0.0036558869249676,74.0,False,0.0061393503591308,False,0.0161349315996368,19.100000381469727
1594570456.7944727,b8:27:eb:bf:9d:51,0.0049702846468744,49.9,False,0.007666837027389,False,0.0204569114655855,21.7
1594570457.7994964,1c:bf:ce:15:ec:4d,0.0040814793896792,56.5,True,0.0066484303062243,False,0.017568015134972,27.0
1594570460.4827075,b8:27:eb:bf:9d:51,0.004971644949355,49.9,False,0.0076683548991553,False,0.0204612376699309,21.7
1594570461.6081672,1c:bf:ce:15:ec:4d,0.0040886167952559,56.5,True,0.0066568387956212,False,0.0175917499283839,27.0
1594570462.961864,00:0f:00:70:91:0a,0.0036999521670217,73.5999984741211,False,0.0061927927687741,False,0.0162850052470037,19.100000381469727
1594570464.1690805,b8:27:eb:bf:9d:51,0.0049760123404216,49.9,False,0.007673227406398,False,0.0204751255761782,21.7
1594570466.489237,1c:bf:ce:15:ec:4d,0.0040460210578525,56.29999923706055,True,0.006606596797634,False,0.0174499614097241,27.0
1594570467.8571942,b8:27:eb:bf:9d:51,0.0050062406321827,49.8,False,0.0077069194386371,False,0.0205711730195688,21.6
1594570471.0872376,00:0f:00:70:91:0a,0.0037787171666301,73.9000015258789,False,0.0062878829680085,False,0.0165522495753838,19.100000381469727
1594570471.543391,b8:27:eb:bf:9d:51,0.0049817604051199,49.9,False,0.0076796384683714,False,0.0204933996774769,21.7
1594570472.4372144,1c:bf:ce:15:ec:4d,0.0040513082444884,56.29999923706055,True,0.0066128409991984,False,0.0174675792534178,27.0
1594570475.2292752,b8:27:eb:bf:9d:51,0.0049875032797993,49.8,False,0.0076860416987492,False,0.0205116524938526,21.6
1594570478.9151866,b8:27:eb:bf:9d:51,0.0049716978245963,49.8,False,0.007668413896828,False,0.0204614058249643,21.6
1594570479.7523024,00:0f:00:70:91:0a,0.0036999521670217,73.69999694824219,False,0.0061927927687741,False,0.0162850052470037,19.100000381469727
1594570482.601254,b8:27:eb:bf:9d:51,0.0049946710978715,49.8,False,0.0076940308620936,False,0.0205344275669833,21.6
1594570483.7330549,1c:bf:ce:15:ec:4d,0.0040601528180467,56.0,True,0.0066232814614669,False,0.0174970392650893,27.0
1594570484.6427014,00:0f:00:70:91:0a,0.003744628049894,73.80000305175781,False,0.0062467963436379,False,0.0164367444466377,19.100000381469727
1594570486.2873726,b8:27:eb:bf:9d:51,0.0050178197228976,49.9,False,0.0077198104149108,False,0.0206079295050472,21.6
1594570489.5278726,00:0f:00:70:91:0a,0.003744628049894,73.5999984741211,False,0.0062467963436379,False,0.0164367444466377,19.0
1594570489.9736545,b8:27:eb:bf:9d:51,0.0050178197228976,49.9,False,0.0077198104149108,False,0.0206079295050472,21.6
1594570493.661104,b8:27:eb:bf:9d:51,0.0049802732551297,49.9,False,0.0076779799827828,False,0.0204886722277338,21.6
1594570495.0276046,1c:bf:ce:15:ec:4d,0.0040601528180467,55.900001525878906,True,0.0066232814614669,False,0.0174970392650893,27.0
1594570497.3485425,b8:27:eb:bf:9d:51,0.0050091167309803,49.9,False,0.0077101221622329,False,0.0205803046647948,21.6
1594570498.1862297,00:0f:00:70:91:0a,0.003744628049894,73.5999984741211,False,0.0062467963436379,False,0.0164367444466377,19.0
1594570500.436899,1c:bf:ce:15:ec:4d,0.004053072401776,55.900001525878906,True,0.0066149239787415,False,0.0174734565755012,27.0
1594570501.0365007,b8:27:eb:bf:9d:51,0.004960290207454,49.9,False,0.00765568136581,False,0.0204251176395734,21.6
1594570501.998283,00:0f:00:70:91:0a,0.0036558869249676,73.5999984741211,False,0.0061393503591308,False,0.0161349315996368,19.0
1594570504.7239032,b8:27:eb:bf:9d:51,0.0049831115140933,49.9,False,0.0076811451208431,False,0.0204976943930695,21.6
1594570507.4680269,1c:bf:ce:15:ec:4d,0.0040672474333429,55.900001525878906,True,0.0066316516618555,False,0.0175206598743234,27.100000381469727
1594570508.4114084,b8:27:eb:bf:9d:51,0.0050047797394477,49.9,False,0.0077052924443959,False,0.0205665342125127,21.6
1594570509.055256,00:0f:00:70:91:0a,0.003744628049894,73.80000305175781,False,0.0062467963436379,False,0.0164367444466377,19.0
1594570512.0991206,b8:27:eb:bf:9d:51,0.004994712976107,49.9,False,0.0076940775297466,False,0.0205345606093334,21.6
1594570513.9509065,1c:bf:ce:15:ec:4d,0.0040814793896792,55.900001525878906,True,0.0066484303062243,False,0.017568015134972,27.100000381469727
1594570515.7865007,b8:27:eb:bf:9d:51,0.0049831115140933,49.9,False,0.0076811451208431,False,0.0204976943930695,21.6
1594570519.3656435,1c:bf:ce:15:ec:4d,0.0041066298743404,55.900001525878906,True,0.0066780417533729,False,0.0176516089674332,27.100000381469727
1594570519.4735787,b8:27:eb:bf:9d:51,0.0049673636419089,49.9,False,0.0076635772823724,False,0.0204476208102337,21.6
1594570523.159525,b8:27:eb:bf:9d:51,0.0049905017507765,49.9,False,0.0076893841443623,False,0.0205211807600585,21.6
1594570524.4382756,00:0f:00:70:91:0a,0.003744628049894,73.4000015258789,False,0.0062467963436379,False,0.0164367444466377,19.100000381469727
